age,male,female
1,0.000379,0.000379
2,0.000234,0.000234
3,0.00018,0.00018
4,0.000145,0.000145
5,0.000137,0.000137
6,0.000124,0.000124
7,0.000114,0.000114
8,0.000105,0.000105
9,0.000097,0.000097
10,0.000095,0.000095
11,0.000104,0.000104
12,0.000131,0.000131
13,0.000181,0.000181
14,0.000248,0.000248
15,0.000324,0.000324
16,0.000401,0.000401
17,0.000483,0.000483
18,0.000569,0.000569
19,0.000657,0.000657
20,0.000748,0.000748
21,0.000839,0.000839
22,0.000917,0.000917
23,0.000976,0.000976
24,0.00102,0.00102
25,0.001057,0.001057
26,0.001097,0.001097
27,0.001139,0.001139
28,0.00119,0.00119
29,0.001248,0.001248
30,0.001309,0.001309
31,0.001371,0.001371
32,0.001436,0.001436
33,0.0015,0.0015
34,0.001564,0.001564
35,0.001636,0.001636
36,0.001711,0.001711
37,0.001782,0.001782
38,0.001847,0.001847
39,0.001912,0.001912
40,0.00199,0.00199
41,0.002087,0.002087
42,0.002205,0.002205
43,0.002344,0.002344
44,0.002501,0.002501
45,0.002679,0.002679
46,0.002877,0.002877
47,0.003094,0.003094
48,0.003334,0.003334
49,0.003608,0.003608
50,0.003904,0.003904
51,0.004238,0.004238
52,0.004639,0.004639
53,0.005107,0.005107
54,0.005615,0.005615
55,0.006123,0.006123
56,0.00663,0.00663
57,0.007167,0.007167
58,0.007754,0.007754
59,0.008394,0.008394
60,0.00909,0.00909
61,0.009808,0.009808
62,0.010518,0.010518
63,0.011202,0.011202
64,0.01189,0.01189
65,0.012621,0.012621
66,0.013499,0.013499
67,0.014468,0.014468
68,0.015571,0.015571
69,0.016804,0.016804
70,0.018143,0.018143
71,0.019683,0.019683
72,0.021193,0.021193
73,0.023529,0.023529
74,0.025583,0.025583
75,0.028288,0.028288
76,0.030996,0.030996
77,0.034485,0.034485
78,0.038071,0.038071
79,0.042153,0.042153
80,0.046589,0.046589
81,0.051588,0.051588
82,0.057742,0.057742
83,0.06454,0.06454
84,0.071641,0.071641
85,0.080529,0.080529
86,0.089744,0.089744
87,0.10048,0.10048
88,0.11225,0.11225
89,0.125094,0.125094
90,0.139038,0.139038
91,0.154096,0.154096
92,0.170257,0.170257
93,0.187494,0.187494
94,0.205752,0.205752
95,0.224954,0.224954
96,0.244995,0.244995
97,0.265747,0.265747
98,0.28706,0.28706
99,0.308767,0.308767
100,1,1
