age,male,female,total
1,0.000415,0.000341,0.000379
2,0.000257,0.000209,0.000234
3,0.000193,0.000166,0.00018
4,0.000153,0.000137,0.000145
5,0.000149,0.000125,0.000137
6,0.000137,0.000112,0.000124
7,0.000126,0.000102,0.000114
8,0.000113,0.000096,0.000105
9,0.000101,0.000093,0.000097
10,0.000095,0.000095,0.000095
11,0.000106,0.000102,0.000104
12,0.000145,0.000116,0.000131
13,0.000221,0.000139,0.000181
14,0.000324,0.00017,0.000248
15,0.000438,0.000204,0.000324
16,0.000554,0.000241,0.000401
17,0.000679,0.00028,0.000483
18,0.000809,0.000319,0.000569
19,0.00094,0.00036,0.000657
20,0.001077,0.000404,0.000748
21,0.001211,0.000449,0.000839
22,0.001324,0.00049,0.000917
23,0.001407,0.000524,0.000976
24,0.001465,0.000553,0.00102
25,0.001514,0.000579,0.001057
26,0.001564,0.000608,0.001097
27,0.001614,0.000644,0.001139
28,0.001669,0.00069,0.00119
29,0.00173,0.000746,0.001248
30,0.001794,0.000808,0.001309
31,0.001858,0.00087,0.001371
32,0.001926,0.000933,0.001436
33,0.001998,0.000992,0.0015
34,0.002072,0.001049,0.001564
35,0.002154,0.001112,0.001636
36,0.002241,0.001178,0.001711
37,0.002323,0.00124,0.001782
38,0.002399,0.001295,0.001847
39,0.002476,0.001351,0.001912
40,0.002569,0.001414,0.00199
41,0.002685,0.001493,0.002087
42,0.002824,0.001593,0.002205
43,0.002983,0.001714,0.002344
44,0.003162,0.001851,0.002501
45,0.003365,0.002005,0.002679
46,0.003596,0.002172,0.002877
47,0.003856,0.002347,0.003094
48,0.004154,0.002534,0.003334
49,0.004497,0.002741,0.003608
50,0.004867,0.002964,0.003904
51,0.005284,0.003217,0.004238
52,0.005789,0.003519,0.004639
53,0.006385,0.003869,0.005107
54,0.007034,0.004246,0.005615
55,0.007687,0.004623,0.006123
56,0.008338,0.005,0.00663
57,0.009024,0.005405,0.007167
58,0.009768,0.005853,0.007754
59,0.010575,0.006346,0.008394
60,0.011445,0.006891,0.00909
61,0.012342,0.007455,0.009808
62,0.013242,0.008004,0.010518
63,0.01413,0.00852,0.011202
64,0.015033,0.009033,0.01189
65,0.016003,0.009573,0.012621
66,0.017154,0.010236,0.013499
67,0.018348,0.01103,0.014468
68,0.019601,0.012018,0.015571
69,0.020915,0.013187,0.016804
70,0.022303,0.014484,0.018143
71,0.02393,0.015956,0.019683
72,0.025553,0.017382,0.021193
73,0.028257,0.019431,0.023529
74,0.030698,0.021198,0.025583
75,0.033891,0.023549,0.028288
76,0.037078,0.025917,0.030996
77,0.041154,0.029002,0.034485
78,0.0453,0.03222,0.038071
79,0.049951,0.035944,0.042153
80,0.054931,0.040043,0.046589
81,0.060709,0.044578,0.051588
82,0.067466,0.050431,0.057742
83,0.074945,0.056908,0.06454
84,0.083495,0.063205,0.071641
85,0.093585,0.071076,0.080529
86,0.103957,0.080252,0.089744
87,0.116315,0.090433,0.10048
88,0.129805,0.101682,0.11225
89,0.144448,0.114054,0.125094
90,0.16025,0.12759,0.139038
91,0.177194,0.142319,0.154096
92,0.195239,0.15825,0.170257
93,0.214316,0.175367,0.187494
94,0.234332,0.193631,0.205752
95,0.255162,0.212972,0.224954
96,0.276659,0.233293,0.244995
97,0.298653,0.254465,0.265747
98,0.320956,0.276333,0.28706
99,0.343371,0.298719,0.308767
100,1,1,1
